"BBY.F.Open","BBY.F.High","BBY.F.Low","BBY.F.Close","BBY.F.Volume","BBY.F.Adjusted"
28.6200008392334,28.7999992370605,28.6200008392334,28.7800006866455,200,24.7046184539795
28.7999992370605,29.1100006103516,28.7999992370605,29.1100006103516,100,24.9878883361816
28.8500003814697,28.8500003814697,28.8500003814697,28.8500003814697,0,24.7647094726562
29.3899993896484,29.8299999237061,29.3899993896484,29.7999992370605,300,25.5801849365234
30.0900001525879,30.7900009155273,30.0900001525879,30.7900009155273,700,26.4299964904785
30.3899993896484,30.3899993896484,30.3899993896484,30.3899993896484,0,26.0866355895996
30.6900005340576,30.6900005340576,30.6900005340576,30.6900005340576,0,26.3441581726074
30.9599990844727,30.9599990844727,30.9599990844727,30.9599990844727,0,26.5759220123291
31.7199993133545,32.0999984741211,31.7199993133545,32.0999984741211,100,27.5544891357422
31.9799995422363,32.2900009155273,31.9799995422363,32.0099983215332,100,27.4772338867188
31.9699993133545,31.9699993133545,31.9699993133545,31.9699993133545,0,27.4428977966309
32.2900009155273,32.2900009155273,32.2900009155273,32.2900009155273,0,27.7175903320312
32.25,32.25,32.25,32.25,0,27.6832523345947
32.3300018310547,32.3300018310547,32.3300018310547,32.3300018310547,0,27.7519226074219
32.2400016784668,32.2400016784668,32.2400016784668,32.2400016784668,0,27.6746692657471
31.8700008392334,31.8700008392334,31.8700008392334,31.8700008392334,0,27.3570594787598
31.6399993896484,31.6399993896484,31.6399993896484,31.6399993896484,0,27.159631729126
31.9200000762939,31.9200000762939,31.9200000762939,31.9200000762939,0,27.3999824523926
31.3999996185303,31.3999996185303,31.3999996185303,31.3999996185303,0,26.95361328125
31.3400001525879,31.4500007629395,31.3400001525879,31.4500007629395,100,26.9965343475342
31.6499996185303,31.6499996185303,31.6499996185303,31.6499996185303,0,27.168212890625
31.4899997711182,31.4899997711182,31.4899997711182,31.4899997711182,0,27.0308704376221
32.3199996948242,32.4000015258789,32.3199996948242,32.4000015258789,50,27.81201171875
32.0499992370605,32.0499992370605,32.0499992370605,32.0499992370605,0,27.5115737915039
32.0800018310547,32.0800018310547,32.0800018310547,32.0800018310547,0,27.5373268127441
31.8099994659424,31.8099994659424,31.8099994659424,31.8099994659424,0,27.3055572509766
32.2000007629395,32.2000007629395,32.2000007629395,32.2000007629395,0,27.6403331756592
31.9599990844727,31.9599990844727,31.9599990844727,31.9599990844727,0,27.4343185424805
32.310001373291,32.310001373291,32.310001373291,32.310001373291,0,27.7347583770752
32.0200004577637,32.0200004577637,32.0200004577637,32.0200004577637,0,27.4858245849609
32.1500015258789,32.1500015258789,32.1500015258789,32.1500015258789,0,27.5974140167236
32.1399993896484,32.1399993896484,31.7900009155273,31.7900009155273,400,27.2883911132812
32.5499992370605,32.5499992370605,32.5499992370605,32.5499992370605,0,27.9407711029053
32.5,32.5,32.5,32.5,0,27.8978538513184
32.2299995422363,32.2299995422363,32.2299995422363,32.2299995422363,0,27.6660861968994
32.2599983215332,32.2599983215332,32.2599983215332,32.2599983215332,0,27.691837310791
32.5200004577637,32.5200004577637,32.5200004577637,32.5200004577637,0,27.9150238037109
32.4199981689453,32.4199981689453,32.4199981689453,32.4199981689453,0,27.829174041748
32.6100006103516,32.6100006103516,32.6100006103516,32.6100006103516,0,27.9922771453857
32.1800003051758,32.1800003051758,32.1800003051758,32.1800003051758,0,27.6231632232666
31.6100006103516,31.7999992370605,31.6100006103516,31.7999992370605,400,27.2969741821289
30.5799999237061,30.8500003814697,30.5100002288818,30.8500003814697,200,26.4814987182617
30.0400009155273,30.0400009155273,30,30,200,25.7518615722656
30.1000003814697,30.1000003814697,30.1000003814697,30.1000003814697,0,25.8377017974854
29.6299991607666,29.6299991607666,29.6299991607666,29.6299991607666,70,25.4342555999756
29.9899997711182,30,29.9899997711182,30,100,25.7518615722656
29.8199996948242,29.8199996948242,29.8199996948242,29.8199996948242,0,25.5973529815674
30.0100002288818,30.0100002288818,30.0100002288818,30.0100002288818,0,25.7604446411133
30.0300006866455,30.0300006866455,29.9699993133545,29.9699993133545,100,25.726110458374
30.5100002288818,30.5100002288818,30.5100002288818,30.5100002288818,0,26.1896438598633
30.3099994659424,30.3099994659424,29.8999996185303,29.8999996185303,300,25.6660194396973
29.2399997711182,29.2399997711182,29.2399997711182,29.2399997711182,0,25.0994834899902
29.3999996185303,29.6599998474121,29.3400001525879,29.4799995422363,200,25.3054981231689
29.0799999237061,29.3299999237061,29.0799999237061,29.3299999237061,50,25.1767387390137
29.4699993133545,29.5200004577637,29.4500007629395,29.5200004577637,300,25.3398323059082
29.6900005340576,29.6900005340576,29.6900005340576,29.6900005340576,0,25.4857616424561
29.7399997711182,30,29.7399997711182,30,60,25.7518615722656
30.3099994659424,30.5900001525879,30.3099994659424,30.5900001525879,200,26.2583160400391
30.7299995422363,30.8600006103516,30.7299995422363,30.8600006103516,40,26.4900817871094
30.8899993896484,30.9799995422363,30.8899993896484,30.9799995422363,17,26.5930881500244
30.2099990844727,30.2099990844727,30.2099990844727,30.2099990844727,0,25.9321231842041
29.8199996948242,29.8199996948242,29.8199996948242,29.8199996948242,0,25.5973529815674
29.5900001525879,29.5900001525879,29.5900001525879,29.5900001525879,0,25.3999156951904
29.6299991607666,29.6299991607666,29.5200004577637,29.5200004577637,100,25.3398323059082
29.9200000762939,29.9200000762939,29.9200000762939,29.9200000762939,0,25.6831893920898
30.2299995422363,30.2299995422363,30.2299995422363,30.2299995422363,0,25.9492950439453
30.4599990844727,30.4599990844727,30.4599990844727,30.4599990844727,0,26.1467247009277
